,original_es_r,original_es_type,original_n,replication_es_r,replication_es_type,replication_n,original_doi,original_authors,original_title,original_journal,original_volume,original_issue,original_pages,original_year,replication_doi,replication_authors,replication_title,replication_journal,replication_volume,replication_issue,replication_pages,replication_year,discipline,description,tags,result,replication_citation_html,original_citation_html
72,0.21986838,,300.0,0.52616251,,12.0,10.1073/pnas.1523698113,Jason A. Okonofua; David Paunesku; Gregory M. Walton,Brief intervention to encourage empathic discipline cuts suspension rates in half among adolescents,Proceedings of the National Academy of Sciences,113.0,19,5221,2016.0,10.1098/rsos.231240,Veronica Boyce; Maya B. Mathur; Michael C. Frank,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,Royal Society Open Science,10.0,11,231240,2023.0,Psychology,Brief intervention to encourage empathic discipline cuts suspension rates in half among adolescents,,success,"<a href=""https://doi.org/10.1098/rsos.231240"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Boyce V. <i>et al.</i> <i>Royal Society Open Science</i> 2023</a>","<a href=""https://doi.org/10.1073/pnas.1523698113"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Okonofua J. <i>et al.</i> <i>Proceedings of the National Academy of Sciences</i> 2016</a>"
73,0.12367206,,22.0,0.04921164,,22.0,,,,,,,,,10.1098/rsos.231240,Veronica Boyce; Maya B. Mathur; Michael C. Frank,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,Royal Society Open Science,10.0,11,231240,2023.0,Psychology,Canonical visual size for real-world objects,,inconclusive,"<a href=""https://doi.org/10.1098/rsos.231240"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Boyce V. <i>et al.</i> <i>Royal Society Open Science</i> 2023</a>",<i></i>
74,0.20917769,,12.0,0.0992474,,30.0,10.1177/0956797615585002,Yangqing Xu; Steven L. Franconeri,Capacity for Visual Features in Mental Rotation,Psychological Science,26.0,8,1241,2015.0,10.1098/rsos.231240,Veronica Boyce; Maya B. Mathur; Michael C. Frank,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,Royal Society Open Science,10.0,11,231240,2023.0,Psychology,Capacity for visual features in mental rotation,,inconclusive,"<a href=""https://doi.org/10.1098/rsos.231240"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Boyce V. <i>et al.</i> <i>Royal Society Open Science</i> 2023</a>","<a href=""https://doi.org/10.1177/0956797615585002"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Xu Y. <i>et al.</i> <i>Psychological Science</i> 2015</a>"
75,0.34621014,,415.0,-0.02415167,,46.0,10.1177/0956797619854706,Andrew Luttrell; Aviva Philipp-Muller; Richard E. Petty,Challenging Moral Attitudes With Moral Messages,Psychological Science,30.0,8,1136,2019.0,10.1098/rsos.231240,Veronica Boyce; Maya B. Mathur; Michael C. Frank,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,Royal Society Open Science,10.0,11,231240,2023.0,Psychology,Challenging moral attitudes with moral messages,,inconclusive,"<a href=""https://doi.org/10.1098/rsos.231240"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Boyce V. <i>et al.</i> <i>Royal Society Open Science</i> 2023</a>","<a href=""https://doi.org/10.1177/0956797619854706"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Luttrell A. <i>et al.</i> <i>Psychological Science</i> 2019</a>"
76,0.06205747,,127.0,0.05498338,,36.0,,,,,,,,,10.1098/rsos.231240,Veronica Boyce; Maya B. Mathur; Michael C. Frank,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,Royal Society Open Science,10.0,11,231240,2023.0,Psychology,Cheating more when the spoils are split,,inconclusive,"<a href=""https://doi.org/10.1098/rsos.231240"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Boyce V. <i>et al.</i> <i>Royal Society Open Science</i> 2023</a>",<i></i>
77,0.26447538,,132.0,0.21902877,,115.0,,,,,,,,,10.1098/rsos.231240,Veronica Boyce; Maya B. Mathur; Michael C. Frank,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,Royal Society Open Science,10.0,11,231240,2023.0,Psychology,children‚Äôs fixed and growth intelligence mind-sets and parents' view of failure,,success,"<a href=""https://doi.org/10.1098/rsos.231240"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Boyce V. <i>et al.</i> <i>Royal Society Open Science</i> 2023</a>",<i></i>
78,0.27304673,,34.0,0.19555301,,31.0,10.1177/09567976221082637,Patricia Romero Verdugo; Lieke L. F. van Lieshout; Floris P. de Lange; Roshan Cools,Choice Boosts Curiosity,Psychological Science,34.0,1,99,2022.0,10.1098/rsos.231240,Veronica Boyce; Maya B. Mathur; Michael C. Frank,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,Royal Society Open Science,10.0,11,231240,2023.0,Psychology,Choice boosts curiosity,,success,"<a href=""https://doi.org/10.1098/rsos.231240"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Boyce V. <i>et al.</i> <i>Royal Society Open Science</i> 2023</a>","<a href=""https://doi.org/10.1177/09567976221082637"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Verdugo P. <i>et al.</i> <i>Psychological Science</i> 2022</a>"
79,0.34044357,,40.0,0.40623194,,90.0,10.1111/j.1467-9280.2008.02227.x,Simone Schnall; Jennifer Benton; Sophie Harvey,With a Clean Conscience,Psychological Science,19.0,12,1219,2008.0,10.1098/rsos.231240,Veronica Boyce; Maya B. Mathur; Michael C. Frank,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,Royal Society Open Science,10.0,11,231240,2023.0,Psychology,Cleanliness reduces the severity of moral judgments,,success,"<a href=""https://doi.org/10.1098/rsos.231240"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Boyce V. <i>et al.</i> <i>Royal Society Open Science</i> 2023</a>","<a href=""https://doi.org/10.1111/j.1467-9280.2008.02227.x"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Schnall S. <i>et al.</i> <i>Psychological Science</i> 2008</a>"
80,0.47849149,,45.0,0.34011768,,45.0,,,,,,,,,10.1098/rsos.231240,Veronica Boyce; Maya B. Mathur; Michael C. Frank,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,Royal Society Open Science,10.0,11,231240,2023.0,Psychology,Cognitive Control Mode Predicts Behavioral Expression of Model-Based Reinforcement-Learning,,success,"<a href=""https://doi.org/10.1098/rsos.231240"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Boyce V. <i>et al.</i> <i>Royal Society Open Science</i> 2023</a>",<i></i>
81,0.5249089,,60.0,0.52805065,,55.0,10.1111/j.1551-6709.2010.01164.x,Rick Dale; Nicholas D. Duran,The Cognitive Dynamics of Negated Sentence Verification,Cognitive Science,35.0,5,983,2011.0,10.1098/rsos.231240,Veronica Boyce; Maya B. Mathur; Michael C. Frank,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,Royal Society Open Science,10.0,11,231240,2023.0,Psychology,cognitive dynamics of negated sentence verification,,success,"<a href=""https://doi.org/10.1098/rsos.231240"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Boyce V. <i>et al.</i> <i>Royal Society Open Science</i> 2023</a>","<a href=""https://doi.org/10.1111/j.1551-6709.2010.01164.x"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Dale R. <i>et al.</i> <i>Cognitive Science</i> 2011</a>"
82,0.29936136,,82.0,0.13875676,,25.0,,,,,,,,,10.1098/rsos.231240,Veronica Boyce; Maya B. Mathur; Michael C. Frank,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,Royal Society Open Science,10.0,11,231240,2023.0,Psychology,Cognitive load selectively interferes with utilitarian moral judgment,,success,"<a href=""https://doi.org/10.1098/rsos.231240"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Boyce V. <i>et al.</i> <i>Royal Society Open Science</i> 2023</a>",<i></i>
83,0.81930177,,62.0,0.55975736,,60.0,,,,,,,,,10.1098/rsos.231240,Veronica Boyce; Maya B. Mathur; Michael C. Frank,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,Royal Society Open Science,10.0,11,231240,2023.0,Psychology,Cognitive vs. emotive factives,,success,"<a href=""https://doi.org/10.1098/rsos.231240"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Boyce V. <i>et al.</i> <i>Royal Society Open Science</i> 2023</a>",<i></i>
84,0.3813007,,106.0,0.28359773,,158.0,10.1177/0956797616662271,Steven A. Sloman; Nathaniel Rabb,Your Understanding Is My Understanding,Psychological Science,27.0,11,1451,2016.0,10.1098/rsos.231240,Veronica Boyce; Maya B. Mathur; Michael C. Frank,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,Royal Society Open Science,10.0,11,231240,2023.0,Psychology,community of knowledge,,success,"<a href=""https://doi.org/10.1098/rsos.231240"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Boyce V. <i>et al.</i> <i>Royal Society Open Science</i> 2023</a>","<a href=""https://doi.org/10.1177/0956797616662271"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Sloman S. <i>et al.</i> <i>Psychological Science</i> 2016</a>"
85,0.57346234,d,312.0,0.30477573,d,321.0,10.1177/0956797614561266,Lisa Zaval; Ezra M. Markowitz; Elke U. Weber,How Will I Be Remembered? Conserving the Environment for the Sake of One’s Legacy,Psychological Science,26.0,2,231,2015.0,10.1098/rsos.231240,Veronica Boyce; Maya B. Mathur; Michael C. Frank,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,Royal Society Open Science,10.0,11,231240,2023.0,Psychology,Conserving the environment for the sake of one‚Äôs legacy,,success,"<a href=""https://doi.org/10.1098/rsos.231240"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Boyce V. <i>et al.</i> <i>Royal Society Open Science</i> 2023</a>","<a href=""https://doi.org/10.1177/0956797614561266"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Zaval L. <i>et al.</i> <i>Psychological Science</i> 2015</a>"
86,0.71860822,,124.0,0.74838362,,209.0,10.1037/0022-3514.94.2.94.2.196,Kevin L. Blankenship; Duane T. Wegener,Opening the mind to close it: Considering a message in light of important values increases message processing and later resistance to change.,Journal of Personality and Social Psychology,94.0,2,196,2008.0,10.1098/rsos.231240,Veronica Boyce; Maya B. Mathur; Michael C. Frank,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,Royal Society Open Science,10.0,11,231240,2023.0,Psychology,considering a message in light of important values increases message processing and later resistance to change,,success,"<a href=""https://doi.org/10.1098/rsos.231240"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Boyce V. <i>et al.</i> <i>Royal Society Open Science</i> 2023</a>","<a href=""https://doi.org/10.1037/0022-3514.94.2.94.2.196"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Blankenship K. <i>et al.</i> <i>Journal of Personality and Social Psychology</i> 2008</a>"
87,0.53846154,,793.0,0.08582822,,37.0,,,,,,,,,10.1098/rsos.231240,Veronica Boyce; Maya B. Mathur; Michael C. Frank,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,Royal Society Open Science,10.0,11,231240,2023.0,Psychology,"Controlling for participants‚Äô viewing distance in large-scale, psychophysical online experiments using a virtual chinrest",,inconclusive,"<a href=""https://doi.org/10.1098/rsos.231240"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Boyce V. <i>et al.</i> <i>Royal Society Open Science</i> 2023</a>",<i></i>
88,0.13882939,,40.0,-0.00454541,,39.0,10.1177/0956797614553009,Sei Jin Ko; Melody S. Sadler; Adam D. Galinsky,The Sound of Power,Psychological Science,26.0,1,3,2014.0,10.1098/rsos.231240,Veronica Boyce; Maya B. Mathur; Michael C. Frank,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,Royal Society Open Science,10.0,11,231240,2023.0,Psychology,Conveying and detecting hierarchical rank through voice,,inconclusive,"<a href=""https://doi.org/10.1098/rsos.231240"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Boyce V. <i>et al.</i> <i>Royal Society Open Science</i> 2023</a>","<a href=""https://doi.org/10.1177/0956797614553009"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Ko S. <i>et al.</i> <i>Psychological Science</i> 2014</a>"
89,0.44952343,,611.0,0.51145451,,81.0,10.1177/1747021817744546,Yasmina Okan; Rocio Garcia-Retamero; Edward T Cokely; Antonio Maldonado,Biasing and debiasing health decisions with bar graphs: Costs and benefits of graph literacy,Quarterly Journal of Experimental Psychology,71.0,12,2506,2018.0,10.1098/rsos.231240,Veronica Boyce; Maya B. Mathur; Michael C. Frank,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,Royal Society Open Science,10.0,11,231240,2023.0,Psychology,Costs and benefits of graph literacy,,success,"<a href=""https://doi.org/10.1098/rsos.231240"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Boyce V. <i>et al.</i> <i>Royal Society Open Science</i> 2023</a>","<a href=""https://doi.org/10.1177/1747021817744546"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Okan Y. <i>et al.</i> <i>Quarterly Journal of Experimental Psychology</i> 2018</a>"
90,0.34921426,,500.0,0.05358305,,235.0,,,,,,,,,10.1098/rsos.231240,Veronica Boyce; Maya B. Mathur; Michael C. Frank,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,Royal Society Open Science,10.0,11,231240,2023.0,Psychology,Data quality of platforms and panels for online behavioral research,,inconclusive,"<a href=""https://doi.org/10.1098/rsos.231240"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Boyce V. <i>et al.</i> <i>Royal Society Open Science</i> 2023</a>",<i></i>
91,0.39867693,,37.0,0.38736514,,19.0,10.1073/pnas.1202129109,Diana I. Tamir; Jason P. Mitchell,Disclosing information about the self is intrinsically rewarding,Proceedings of the National Academy of Sciences,109.0,21,8038,2012.0,10.1098/rsos.231240,Veronica Boyce; Maya B. Mathur; Michael C. Frank,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,Royal Society Open Science,10.0,11,231240,2023.0,Psychology,Disclosing information about the self is intrinsically rewarding,,success,"<a href=""https://doi.org/10.1098/rsos.231240"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Boyce V. <i>et al.</i> <i>Royal Society Open Science</i> 2023</a>","<a href=""https://doi.org/10.1073/pnas.1202129109"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Tamir D. <i>et al.</i> <i>Proceedings of the National Academy of Sciences</i> 2012</a>"
92,0.24539421,,122.0,0.09323199,,137.0,10.1177/0956797612445318,Gary D. Sherman; Jonathan Haidt; Gerald L. Clore,The Faintest Speck of Dirt,Psychological Science,23.0,12,1506,2012.0,10.1098/rsos.231240,Veronica Boyce; Maya B. Mathur; Michael C. Frank,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,Royal Society Open Science,10.0,11,231240,2023.0,Psychology,Disgust enhances the detection of impurity,,inconclusive,"<a href=""https://doi.org/10.1098/rsos.231240"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Boyce V. <i>et al.</i> <i>Royal Society Open Science</i> 2023</a>","<a href=""https://doi.org/10.1177/0956797612445318"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Sherman G. <i>et al.</i> <i>Psychological Science</i> 2012</a>"
